Player,Color,Opponent,PlayerElo,OpponentElo,Result,Date,UTCTime,Opening,NumMoves
player_23,Black,opponent_0266,2271,2386,1-0,2025-10-01,01:23:40,Queen's Pawn Game,119
player_28,White,opponent_1875,1949,1938,1-0,2025-10-01,01:22:58,Sicilian Defense: Old Sicilian,13
player_38,Black,opponent_1181,2015,1953,1-0,2025-10-01,01:22:59,English Opening: Agincourt Defense,39
player_02,Black,opponent_0631,2101,2114,0-1,2025-10-01,01:23:05,Owen Defense,58
player_40,Black,opponent_1530,2250,2240,0-1,2025-10-01,01:24:20,Horwitz Defense,49
player_12,White,opponent_1053,2023,2057,1-0,2025-10-01,01:24:23,Blackmar-Diemer Gambit,105
player_05,White,opponent_0299,2026,2160,0-1,2025-10-01,01:23:57,Van Geet Opening,96
player_30,Black,opponent_1007,2227,2390,1-0,2025-10-01,01:23:58,"GrÇ¬nfeld Defense: Exchange Variation, Modern Exchange Variation",57
player_03,Black,opponent_0666,1903,1919,0-1,2025-10-01,01:23:58,Queen's Pawn Game,84
player_07,White,opponent_1922,2036,1984,1-0,2025-10-01,01:23:49,Queen's Pawn Game: Modern Defense,65
player_15,White,opponent_0727,1921,1986,0-1,2025-10-01,01:23:17,Saragossa Opening,88
player_14,Black,opponent_0835,1986,1921,0-1,2025-10-01,01:23:17,Saragossa Opening,88
player_08,White,opponent_1148,1957,1978,1-0,2025-10-01,01:23:29,English Opening,73
player_29,Black,opponent_1709,2195,2257,0-1,2025-10-01,01:23:29,Queen's Gambit Declined: Marshall Defense,42
player_19,Black,opponent_0937,1909,1852,0-1,2025-10-01,01:23:32,Queen's Pawn Game,44
player_33,White,opponent_0513,2129,2150,0-1,2025-10-01,01:24:06,Saragossa Opening,72
player_24,White,opponent_0966,2269,2292,0-1,2025-10-01,01:24:09,"Queen's Gambit Declined: Marshall Defense, Tan Gambit",62
player_34,Black,opponent_1443,2152,2098,0-1,2025-10-01,01:24:29,Englund Gambit,66
player_38,White,opponent_1181,2008,1960,0-1,2025-10-01,01:23:52,Saragossa Opening,78
player_28,White,opponent_0957,1955,1943,0-1,2025-10-01,01:23:54,Modern Defense: Two Knights Variation,28
player_13,Black,opponent_0421,2282,2264,1-0,2025-10-01,01:23:55,Queen's Pawn Game: Colle System,85
player_05,Black,opponent_0299,2022,2163,1-0,2025-10-01,01:24:37,Queen's Pawn Game: Symmetrical Variation,93
player_17,White,opponent_1715,1984,1996,0-1,2025-10-01,01:24:37,Scandinavian Defense: Mieses-Kotroc Variation,52
player_22,White,opponent_0902,2229,2238,0-1,2025-10-01,01:24:25,Benoni Defense: Old Benoni,54
player_04,Black,opponent_0249,2143,2094,1-0,2025-10-01,01:24:26,French Defense: Knight Variation,31
player_02,White,opponent_0631,2107,2108,1-0,2025-10-01,01:24:56,Hungarian Opening,47
player_01,Black,opponent_1477,2105,2061,0-1,2025-10-01,01:24:58,Benoni Defense: Old Benoni,58
player_06,Black,opponent_0482,2081,2079,1-0,2025-10-01,01:24:51,Queen's Pawn Game,61
player_29,Black,opponent_1337,2202,2191,0-1,2025-10-01,01:24:51,Zukertort Opening: Old Indian Attack,60
player_11,White,opponent_0463,2026,1973,0-1,2025-10-01,01:24:44,Queen's Pawn Game: Accelerated London System,84
player_18,Black,opponent_0249,2094,2101,1-0,2025-10-01,01:25:03,"Sicilian Defense: Moscow Variation, Main Line",49
player_26,Black,opponent_0461,1986,2271,1-0,2025-10-01,01:25:09,Zukertort Opening: Lemberger Gambit,101
player_39,Black,opponent_0751,2152,2105,1-0,2025-10-01,01:25:20,Old Indian Defense,77
player_09,Black,opponent_1072,2278,2394,0-1,2025-10-01,01:25:20,Four Knights Game: Gunsberg Variation,76
player_22,Black,opponent_0902,2224,2243,1-0,2025-10-01,01:25:29,French Defense: Exchange Variation,65
player_27,Black,opponent_1902,2090,2090,0-1,2025-10-01,01:25:22,Alekhine Defense: SÇÏmisch Attack,70
player_04,White,opponent_1744,2137,2113,0-1,2025-10-01,01:24:59,Ponziani Opening: Jaenisch Counterattack,68
player_25,Black,opponent_0707,1867,1867,1-0,2025-10-01,01:25:13,French Defense: Rubinstein Variation,69
player_32,White,opponent_1985,2375,2224,1-0,2025-10-01,01:25:13,Englund Gambit,47
player_20,Black,opponent_1860,2306,2138,1-0,2025-10-01,01:25:13,King's Pawn Game: Damiano Defense,105
player_05,White,opponent_0299,2019,2167,0-1,2025-10-01,01:25:15,Van Geet Opening,50
player_05,Black,opponent_0299,2015,2170,1-0,2025-10-01,01:25:39,Queen's Pawn Game: Symmetrical Variation,85
player_07,Black,opponent_1662,2041,2040,1-0,2025-10-01,01:25:44,Nimzowitsch Defense,119
player_23,White,opponent_0266,2268,2390,0-1,2025-10-01,01:25:16,Scotch Game,94
player_10,Black,opponent_0965,1932,1896,1-0,2025-10-01,01:25:16,"Sicilian Defense: Alapin Variation, Barmen Defense",13
player_16,White,opponent_0465,2257,2258,1-0,2025-10-01,01:25:18,Caro-Kann Defense: Hillbilly Attack,75
player_40,Black,opponent_0255,2256,2285,0-1,2025-10-01,01:25:55,French Defense: Knight Variation,48
player_36,White,opponent_1553,1863,1852,0-1,2025-10-01,01:25:55,"Caro-Kann Defense: Advance Variation, Tal Variation",58
player_08,White,opponent_1785,1963,1965,1-0,2025-10-01,01:25:37,English Opening: King's English Variation,59
player_24,White,opponent_1232,2264,2427,0-1,2025-10-01,01:25:48,Queen's Gambit Declined: Three Knights Variation,66
player_30,White,opponent_1993,2224,2366,0-1,2025-10-01,01:25:48,English Defense,46
player_19,Black,opponent_2044,1914,1979,1-0,2025-10-01,01:25:48,Van Geet Opening,75
player_14,White,opponent_0835,1990,1916,0-1,2025-10-01,01:25:33,Caro-Kann Defense,60
player_15,Black,opponent_0727,1916,1990,0-1,2025-10-01,01:25:33,Caro-Kann Defense,60
player_31,Black,opponent_0868,1999,1999,0-1,2025-10-01,01:25:33,Zukertort Opening: Queen's Gambit Invitation,22
player_01,White,opponent_1477,2110,2056,1-0,2025-10-01,01:26:22,Dutch Defense: Staunton Gambit,59
player_18,White,opponent_0108,2088,2087,0-1,2025-10-01,01:26:10,Sicilian Defense: Marshall Counterattack,70
player_03,White,opponent_1502,1909,1915,1-0,2025-10-01,01:26:10,Modern Defense,75
player_05,White,opponent_0299,2012,2174,0-1,2025-10-01,01:26:16,Van Geet Opening,48
player_13,White,opponent_0421,2276,2270,0-1,2025-10-01,01:26:10,Queen's Pawn Game: Modern Defense,88
player_23,Black,opponent_0266,2264,2394,0-1,2025-10-01,01:26:47,Queen's Pawn Game,96
player_05,Black,opponent_0299,2009,2177,1-0,2025-10-01,01:26:50,Queen's Pawn Game: Torre Attack,83
player_32,Black,opponent_1985,2379,2221,0-1,2025-10-01,01:26:50,Yusupov-Rubinstein System,90
player_34,White,opponent_0431,2157,2144,1-0,2025-10-01,01:26:28,Modern Defense: Three Pawns Attack,25
player_11,Black,opponent_1674,2019,1975,1-0,2025-10-01,01:27:10,Scandinavian Defense: Main Line,31
player_29,White,opponent_1590,2208,2124,1-0,2025-10-01,01:26:32,Barnes Defense,61
player_33,Black,opponent_1372,2124,2208,1-0,2025-10-01,01:26:32,Barnes Defense,61
player_06,Black,opponent_2034,2075,2144,1-0,2025-10-01,01:26:36,Nimzo-Larsen Attack,65
player_38,Black,opponent_1181,2002,1967,0-1,2025-10-01,01:26:06,"English Opening: King's English Variation, Reversed Closed Sicilian",58
player_31,Black,opponent_0228,2005,1999,1-0,2025-10-01,01:26:06,Van't Kruijs Opening,81
player_22,White,opponent_0902,2219,2249,1-0,2025-10-01,01:26:41,Saragossa Opening,55
player_12,Black,opponent_1391,2030,2080,1-0,2025-10-01,01:26:41,Indian Defense: Knights Variation,99
player_02,Black,opponent_1755,2113,2122,0-1,2025-10-01,01:26:45,Modern Defense,54
player_17,White,opponent_1190,1978,1967,1/2-1/2,2025-10-01,01:26:24,Scandinavian Defense: Mieses-Kotroc Variation,104
player_16,Black,opponent_0465,2263,2252,1/2-1/2,2025-10-01,01:27:20,"Sicilian Defense: French Variation, Open",122
player_40,Black,opponent_0831,2262,2245,1-0,2025-10-01,01:27:31,Mieses Opening,77
player_25,White,opponent_1740,1862,1811,0-1,2025-10-01,01:27:31,Four Knights Game: Halloween Gambit,50
player_19,White,opponent_1209,1909,1912,0-1,2025-10-01,01:28:04,Sicilian Defense,64
player_23,White,opponent_0266,2272,2386,0-1,2025-10-01,01:28:05,"Italian Game: Two Knights Defense, Open Variation",80
player_38,White,opponent_1181,2007,1961,0-1,2025-10-01,01:28:05,Mieses Opening,78
player_10,White,opponent_0044,1926,1931,1-0,2025-10-01,01:27:14,Queen's Gambit Accepted: Old Variation,79
player_34,Black,opponent_0262,2163,2291,0-1,2025-10-01,01:27:14,Vienna Game,40
player_30,Black,opponent_0584,2220,2376,0-1,2025-10-01,01:27:14,Zukertort Opening,92
player_24,White,opponent_1232,2257,2433,0-1,2025-10-01,01:27:37,Queen's Pawn Game: Zukertort Variation,102
player_27,White,opponent_1902,2095,2084,1/2-1/2,2025-10-01,01:27:37,Duras Gambit,103
player_22,Black,opponent_0902,2225,2242,0-1,2025-10-01,01:27:37,Queen's Pawn Game,50
player_04,Black,opponent_1894,2131,2137,1-0,2025-10-01,01:27:00,Semi-Slav Defense: Main Line,131
player_24,Black,opponent_1232,2260,2430,1-0,2025-10-01,01:27:04,Scandinavian Defense: Mieses-Kotroc Variation,29
player_15,White,opponent_0727,1923,1983,0-1,2025-10-01,01:27:31,Saragossa Opening,70
player_14,Black,opponent_0835,1983,1923,0-1,2025-10-01,01:27:31,Saragossa Opening,70
player_20,White,opponent_1860,2298,2147,1-0,2025-10-01,01:27:33,Queen's Pawn Game: Modern Defense,63
player_36,Black,opponent_1049,1857,1853,0-1,2025-10-01,01:28:16,Queen's Gambit Accepted,84
player_07,Black,opponent_0352,2035,2183,1-0,2025-10-01,01:28:16,Queen's Pawn Game,75
player_08,Black,opponent_0253,1969,1979,1-0,2025-10-01,01:27:42,French Defense: Exchange Variation,33
player_05,White,opponent_0299,2005,2180,0-1,2025-10-01,01:27:27,Zukertort Opening: Tennison Gambit,62
player_39,White,opponent_0231,2146,2138,1-0,2025-10-01,01:27:28,Queen's Gambit Declined: Exchange Variation,95
player_01,Black,opponent_1477,2115,2051,0-1,2025-10-01,01:28:07,Benoni Defense: Old Benoni,62
player_09,Black,opponent_0255,2291,2279,1-0,2025-10-01,01:27:45,Four Knights Game: Scotch Variation Accepted,31
player_03,Black,opponent_1570,1915,1894,0-1,2025-10-01,01:28:25,Scandinavian Defense: Mieses-Kotroc Variation,60
player_05,Black,opponent_0299,2002,2183,1-0,2025-10-01,01:28:02,Queen's Pawn Game,89
player_11,White,opponent_1674,2013,1982,0-1,2025-10-01,01:28:02,Englund Gambit,48
player_13,White,opponent_1409,2270,2140,1/2-1/2,2025-10-01,01:28:45,Zukertort Opening: Vos Gambit,97
player_05,White,opponent_0299,1999,2186,0-1,2025-10-01,01:28:45,Scandinavian Defense,102
player_20,Black,opponent_1860,2301,2143,0-1,2025-10-01,01:29:25,Italian Game: Rousseau Gambit,40
player_16,White,opponent_0465,2263,2252,0-1,2025-10-01,01:29:26,Caro-Kann Defense: Two Knights Attack,132
player_14,White,opponent_0835,1988,1919,0-1,2025-10-01,01:29:26,Caro-Kann Defense: Exchange Variation,86
player_15,Black,opponent_0727,1919,1988,0-1,2025-10-01,01:29:26,Caro-Kann Defense: Exchange Variation,86
player_09,White,opponent_0271,2281,2158,0-1,2025-10-01,01:28:30,Sicilian Defense: Closed,72
player_06,White,opponent_1853,2071,2054,1-0,2025-10-01,01:28:30,Saragossa Opening,131
player_31,White,opponent_0367,1999,1995,0-1,2025-10-01,01:28:30,Vienna Game,54
player_29,Black,opponent_0087,2212,2226,1-0,2025-10-01,01:28:48,Bird Opening: Dutch Variation,71
player_33,White,opponent_0249,2119,2112,0-1,2025-10-01,01:28:48,Saragossa Opening,62
player_08,White,opponent_1844,1963,1982,1-0,2025-10-01,01:28:48,English Opening: Anglo-Indian Defense,59
player_18,Black,opponent_1771,2083,2080,0-1,2025-10-01,01:28:25,Sicilian Defense: Closed,48
player_17,White,opponent_0279,1978,2015,1-0,2025-10-01,01:28:25,Sicilian Defense: Smith-Morra Gambit,57
player_12,White,opponent_0779,2025,2034,0-1,2025-10-01,01:28:53,Van Geet Opening,84
player_02,White,opponent_1628,2119,2191,1-0,2025-10-01,01:29:05,Van't Kruijs Opening,61
player_32,Black,opponent_1868,2382,2417,0-1,2025-10-01,01:29:05,Owen Defense,22
player_10,Black,opponent_1913,1932,1936,1/2-1/2,2025-10-01,01:29:37,Mieses Opening,100
player_34,White,opponent_0700,2170,2300,1-0,2025-10-01,01:28:37,"Sicilian Defense: Smith-Morra Gambit Accepted, Danish Variation",67
player_22,White,opponent_0902,2231,2236,0-1,2025-10-01,01:28:39,English Opening: Jaenisch Gambit,88
player_24,Black,opponent_1232,2254,2436,1-0,2025-10-01,01:29:20,"Scandinavian Defense: Main Line, Mieses Variation",89
player_27,Black,opponent_1902,2095,2084,0-1,2025-10-01,01:29:48,Alekhine Defense: Krejcik Variation,62
player_01,White,opponent_1477,2120,2046,1-0,2025-10-01,01:29:50,Dutch Defense: Staunton Gambit Accepted,29
player_39,White,opponent_1017,2152,2187,1-0,2025-10-01,01:29:55,Slav Defense,39
player_18,White,opponent_0417,2088,2039,1-0,2025-10-01,01:29:29,Philidor Defense,97
player_30,Black,opponent_1949,2228,2349,0-1,2025-10-01,01:29:29,Scandinavian Defense: Modern Variation,80
player_04,White,opponent_0256,2125,2090,0-1,2025-10-01,01:29:29,Ponziani Opening: Jaenisch Counterattack,72
player_05,Black,opponent_0299,1996,2189,1-0,2025-10-01,01:29:29,Queen's Pawn Game,91
player_22,Black,opponent_0902,2225,2242,1-0,2025-10-01,01:29:51,Van't Kruijs Opening,75
player_11,Black,opponent_1674,2007,1988,1/2-1/2,2025-10-01,01:29:54,Danish Gambit,84
player_17,Black,opponent_0311,1984,1985,1-0,2025-10-01,01:30:04,Nimzo-Larsen Attack: Classical Variation,57
player_40,White,opponent_0993,2256,2301,0-1,2025-10-01,01:30:04,Van't Kruijs Opening,58
player_25,Black,opponent_1836,1855,1860,1/2-1/2,2025-10-01,01:29:41,French Defense: Diemer-Duhm Gambit Accepted,81
player_32,Black,opponent_1176,2389,2409,1-0,2025-10-01,01:30:12,Hungarian Opening: Indian Defense,73
player_38,Black,opponent_1181,2001,1968,0-1,2025-10-01,01:30:29,Queen's Gambit Declined,68
player_08,White,opponent_0676,1969,1961,1-0,2025-10-01,01:30:31,English Opening: Anglo-Scandinavian Defense,55
player_07,White,opponent_0824,2031,2004,1-0,2025-10-01,01:30:31,Queen's Pawn Game: Zukertort Variation,61
player_05,Black,opponent_0299,1991,2195,1-0,2025-10-01,01:30:34,Indian Defense,105
player_05,White,opponent_0299,1994,2192,0-1,2025-10-01,01:30:09,Scandinavian Defense,38
player_23,Black,opponent_0266,2268,2390,1-0,2025-10-01,01:29:34,Scandinavian Defense: Valencian Variation,109
player_21,Black,opponent_0800,1853,1829,1-0,2025-10-01,01:30:44,"Alekhine Defense: Modern Variation, Larsen Variation",69
player_09,White,opponent_1849,2269,2240,0-1,2025-10-01,01:30:47,French Defense: Exchange Variation,82
player_19,White,opponent_0891,1904,1953,1-0,2025-10-01,01:30:47,Saragossa Opening,45
player_12,Black,opponent_0357,2019,2019,1-0,2025-10-01,01:30:52,"Queen's Indian Defense: Kasparov-Petrosian Variation, Main Line",81
player_06,Black,opponent_2016,2076,2091,1-0,2025-10-01,01:30:52,Caro-Kann Defense: Accelerated Panov Attack,99
player_34,White,opponent_1915,2178,2227,1-0,2025-10-01,01:30:55,French Defense: Normal Variation,79
player_01,Black,opponent_1477,2124,2042,0-1,2025-10-01,01:30:57,Benoni Defense: Old Benoni,88
player_03,White,opponent_1494,1920,1944,1-0,2025-10-01,01:30:34,Bird Opening: Williams-Zilbermints Gambit,55
player_36,White,opponent_1916,1863,1877,1-0,2025-10-01,01:30:37,Scandinavian Defense: Valencian Variation,93
player_33,White,opponent_0651,2114,2143,0-1,2025-10-01,01:30:44,Saragossa Opening,104
player_02,White,opponent_1252,2126,2112,1-0,2025-10-01,01:31:24,Nimzo-Larsen Attack: Classical Variation,101
player_31,White,opponent_1748,1993,1919,1-0,2025-10-01,01:30:23,Van't Kruijs Opening,55
player_20,White,opponent_1860,2304,2140,1/2-1/2,2025-10-01,01:30:23,Queen's Pawn Game: Modern Defense,99
player_22,White,opponent_0902,2220,2248,1-0,2025-10-01,01:31:05,Horwitz Defense,47
player_24,White,opponent_1232,2251,2439,0-1,2025-10-01,01:31:22,Queen's Pawn Game: Modern Defense,138
player_04,Black,opponent_0161,2119,2142,0-1,2025-10-01,01:31:36,French Defense: Exchange Variation,124
player_15,White,opponent_0727,1926,1981,1/2-1/2,2025-10-01,01:31:37,Saragossa Opening,70
player_14,Black,opponent_0835,1981,1926,1/2-1/2,2025-10-01,01:31:37,Saragossa Opening,70
player_13,White,opponent_0653,2268,2282,0-1,2025-10-01,01:31:13,"Queen's Gambit Declined: Chigorin Defense, Janowski Variation",76
player_29,White,opponent_1409,2207,2142,1-0,2025-10-01,01:31:13,Pirc Defense,55
player_23,White,opponent_0266,2264,2394,0-1,2025-10-01,01:31:14,Scotch Game,42
player_05,White,opponent_0299,1988,2198,0-1,2025-10-01,01:31:15,Scandinavian Defense,88
player_25,White,opponent_0298,1855,1801,0-1,2025-10-01,01:31:50,Van't Kruijs Opening,58
player_05,Black,opponent_0299,1985,2200,1-0,2025-10-01,01:31:56,Queen's Pawn Game: Torre Attack,79
player_31,Black,opponent_1466,1998,1992,0-1,2025-10-01,01:31:57,French Defense: Rubinstein Variation,18
player_27,White,opponent_1902,2101,2079,1-0,2025-10-01,01:31:59,Sicilian Defense: Hyperaccelerated Dragon,57
player_30,White,opponent_0466,2236,2361,0-1,2025-10-01,01:31:43,Indian Defense: Reversed Chigorin Defense,60
player_39,Black,opponent_1788,2158,2153,0-1,2025-10-01,01:32:05,Rat Defense: Antal Defense,50
player_03,White,opponent_0368,1927,1894,1-0,2025-10-01,01:32:05,Bird Opening: Williams-Zilbermints Gambit,65
player_17,White,opponent_0925,1979,1969,0-1,2025-10-01,01:32:05,Caro-Kann Defense,82
player_10,Black,opponent_0192,1932,1968,0-1,2025-10-01,01:32:10,Queen's Pawn Game: Krause Variation,62
player_16,Black,opponent_0465,2257,2258,1/2-1/2,2025-10-01,01:31:51,Sicilian Defense: French Variation,96
player_11,White,opponent_1674,2006,1988,1-0,2025-10-01,01:32:13,Englund Gambit,89
player_19,Black,opponent_0891,1910,1947,1-0,2025-10-01,01:32:21,Saragossa Opening,57
player_23,Black,opponent_0266,2260,2398,1-0,2025-10-01,01:32:21,Scandinavian Defense,93
player_18,Black,opponent_1443,2093,2091,1-0,2025-10-01,01:32:23,"GrÇ¬nfeld Defense: Three Knights Variation, Burille Variation",75
player_32,White,opponent_1354,2383,2338,1-0,2025-10-01,01:32:30,Horwitz Defense,61
player_07,White,opponent_1449,2037,2034,1-0,2025-10-01,01:32:37,Queen's Pawn Game: Torre Attack,81
player_20,Black,opponent_1860,2302,2142,0-1,2025-10-01,01:32:14,Italian Game: Rousseau Gambit,33
player_05,White,opponent_0299,1983,2203,0-1,2025-10-01,01:32:31,Van Geet Opening,86
player_40,White,opponent_0043,2251,2316,1-0,2025-10-01,01:32:34,Van't Kruijs Opening,65
player_36,Black,opponent_1342,1869,1842,1-0,2025-10-01,01:32:34,"King's Indian Defense: Four Pawns Attack, Dynamic Attack",59
player_38,White,opponent_1181,2006,1963,1-0,2025-10-01,01:32:37,Mieses Opening,73
player_08,Black,opponent_0824,1975,1998,1-0,2025-10-01,01:32:37,Queen's Gambit Declined,113
player_29,White,opponent_1170,2211,2131,1-0,2025-10-01,01:32:37,Vienna Game: Anderssen Defense,67
player_05,Black,opponent_0299,1980,2206,1-0,2025-10-01,01:33:09,Indian Defense,93
player_12,Black,opponent_0779,2014,2039,0-1,2025-10-01,01:33:10,Indian Defense: Normal Variation,10
player_06,White,opponent_1853,2071,2048,0-1,2025-10-01,01:33:10,Saragossa Opening,136
player_30,White,opponent_1734,2232,2345,1-0,2025-10-01,01:33:19,Queen's Pawn Game: Zukertort Variation,85
player_21,White,opponent_1460,1847,1853,0-1,2025-10-01,01:32:49,Dutch Defense: Rubinstein Variation,25
player_20,White,opponent_1860,2305,2139,1-0,2025-10-01,01:32:50,Queen's Pawn Game: Modern Defense,41
player_01,White,opponent_1477,2129,2037,0-1,2025-10-01,01:33:14,King's Gambit Declined: Panteldakis Countergambit,36
player_33,Black,opponent_1455,2108,2136,1-0,2025-10-01,01:33:23,Barnes Defense,28
player_12,White,opponent_1359,2020,2032,0-1,2025-10-01,01:33:23,Queen's Pawn Game: HÇ¬bsch Gambit,72
player_39,White,opponent_1788,2164,2148,0-1,2025-10-01,01:33:25,Queen's Gambit Declined: Albin Countergambit,72
player_14,White,opponent_0835,1980,1926,1-0,2025-10-01,01:33:26,Caro-Kann Defense,51
player_15,Black,opponent_0727,1926,1980,1-0,2025-10-01,01:33:26,Caro-Kann Defense,51
player_21,Black,opponent_0319,1841,1833,1-0,2025-10-01,01:33:27,Alekhine Defense: Scandinavian Variation,39
player_31,White,opponent_1584,2004,1994,0-1,2025-10-01,01:33:27,Benoni Defense: French Benoni,48
player_09,Black,opponent_1682,2259,2146,0-1,2025-10-01,01:33:07,Englund Gambit,58
player_13,Black,opponent_0531,2263,2302,1-0,2025-10-01,01:33:38,Caro-Kann Defense: Two Knights Attack,91
player_24,Black,opponent_1232,2248,2442,1-0,2025-10-01,01:33:31,Scandinavian Defense: Mieses-Kotroc Variation,21
player_20,Black,opponent_1860,2308,2136,0-1,2025-10-01,01:33:42,Italian Game: Rousseau Gambit,40
player_04,White,opponent_1578,2125,2077,0-1,2025-10-01,01:33:43,Sicilian Defense: Old Sicilian,56
player_33,White,opponent_1031,2103,2101,0-1,2025-10-01,01:34:08,Saragossa Opening,48
player_19,White,opponent_0891,1905,1952,0-1,2025-10-01,01:34:10,Caro-Kann Defense,62
player_24,White,opponent_1232,2246,2445,0-1,2025-10-01,01:33:51,Queen's Gambit Declined: Albin Countergambit,108
player_05,White,opponent_0299,1978,2208,0-1,2025-10-01,01:33:51,Van Geet Opening,74
player_23,White,opponent_0266,2257,2401,0-1,2025-10-01,01:33:52,Italian Game: Rousseau Gambit,46
player_35,Black,opponent_0439,2180,2167,1-0,2025-10-01,01:34:04,Nimzo-Larsen Attack,97
player_16,White,opponent_0465,2257,2258,1-0,2025-10-01,01:33:58,Caro-Kann Defense: Two Knights Attack,103
player_02,Black,opponent_0081,2131,2211,1-0,2025-10-01,01:34:01,Modern Defense: Two Knights Variation,143
player_27,Black,opponent_1902,2106,2073,0-1,2025-10-01,01:34:12,Queen's Gambit Declined: Ragozin Defense,58
player_03,Black,opponent_0315,1932,1952,1/2-1/2,2025-10-01,01:34:14,Semi-Slav Defense,84
player_17,Black,opponent_0497,1973,1972,0-1,2025-10-01,01:34:17,Nimzo-Larsen Attack: Classical Variation,76
player_40,White,opponent_0700,2258,2290,1-0,2025-10-01,01:34:40,Van't Kruijs Opening,67
player_32,White,opponent_0770,2388,2493,0-1,2025-10-01,01:34:40,Indian Defense: Tartakower Attack,40
player_31,Black,opponent_1584,1998,2000,1-0,2025-10-01,01:34:31,French Defense: Knight Variation,47
player_10,White,opponent_0484,1938,1906,1-0,2025-10-01,01:34:31,Slav Defense,57
player_01,Black,opponent_1477,2122,2045,1-0,2025-10-01,01:34:34,English Opening: Symmetrical Variation,87
player_07,White,opponent_0622,2042,2192,0-1,2025-10-01,01:34:59,Torre Attack: Fianchetto Defense,68
player_25,Black,opponent_0049,1849,1875,1-0,2025-10-01,01:35:02,Tarrasch Defense: Schara Gambit,63
player_29,Black,opponent_0710,2216,2220,0-1,2025-10-01,01:34:53,Scandinavian Defense: Mieses-Kotroc Variation,78
player_23,Black,opponent_0266,2253,2405,0-1,2025-10-01,01:34:54,Queen's Pawn Game: Krause Variation,96
player_05,Black,opponent_0299,1975,2211,1-0,2025-10-01,01:34:28,Indian Defense,81
player_15,White,opponent_0727,1922,1985,0-1,2025-10-01,01:35:13,Saragossa Opening,68
player_14,Black,opponent_0835,1985,1922,0-1,2025-10-01,01:35:13,Saragossa Opening,68
player_38,Black,opponent_1181,2011,1958,0-1,2025-10-01,01:34:50,Queen's Gambit Declined: Normal Defense,68
player_18,White,opponent_1621,2088,2097,0-1,2025-10-01,01:34:50,Scandinavian Defense: Boehnke Gambit,22
player_08,White,opponent_1642,1970,2017,0-1,2025-10-01,01:34:50,English Opening: Anglo-Scandinavian Defense,58
player_36,White,opponent_0762,1863,1796,0-1,2025-10-01,01:34:50,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,62
player_21,Black,opponent_0959,1835,1968,0-1,2025-10-01,01:35:10,"English Opening: Symmetrical Variation, Four Knights Variation",62
player_20,White,opponent_1860,2312,2133,1-0,2025-10-01,01:34:44,Queen's Pawn Game: Modern Defense,85
player_11,Black,opponent_1674,2012,1983,0-1,2025-10-01,01:34:46,Scandinavian Defense: Main Line,96
player_04,Black,opponent_1095,2119,2013,1-0,2025-10-01,01:35:02,French Defense: Exchange Variation,47
player_09,White,opponent_0221,2265,2200,0-1,2025-10-01,01:35:02,French Defense: Exchange Variation,74
player_35,Black,opponent_1526,2174,1788,0-1,2025-10-01,01:35:05,Hungarian Opening: Slav Formation,78
player_12,Black,opponent_1791,2014,1933,0-1,2025-10-01,01:35:21,Bishop's Opening: Berlin Defense,96
player_30,Black,opponent_0263,2240,2350,1-0,2025-10-01,01:35:39,Pirc Defense,63
player_31,White,opponent_0159,1992,2056,1-0,2025-10-01,01:35:46,Modern Defense,87
player_39,Black,opponent_0598,2158,2068,0-1,2025-10-01,01:35:42,Pirc Defense,53
player_18,Black,opponent_1894,2082,2155,0-1,2025-10-01,01:35:17,GrÇ¬nfeld Defense: Russian Variation,84
player_34,Black,opponent_0459,2185,2172,1-0,2025-10-01,01:35:30,Queen's Gambit Declined: Austrian Defense,91
player_24,Black,opponent_1463,2243,2243,0-1,2025-10-01,01:35:50,Queen's Pawn Game: Anti-Torre,62
player_06,Black,opponent_1391,2065,2078,1-0,2025-10-01,01:35:34,Queen's Pawn Game,109
player_33,Black,opponent_1234,2098,2095,1-0,2025-10-01,01:35:34,Barnes Defense,35
player_26,White,opponent_1405,1984,2471,1/2-1/2,2025-10-01,01:35:54,Van Geet Opening,92
player_35,White,opponent_0929,2175,1538,1-0,2025-10-01,01:36:07,Queen's Pawn Game: Zukertort Variation,47
player_19,Black,opponent_0891,1900,1957,0-1,2025-10-01,01:36:08,Saragossa Opening,48
player_13,White,opponent_1002,2258,2260,1-0,2025-10-01,01:36:09,Slav Defense: Modern Line,49
player_28,Black,opponent_0611,1949,1875,1-0,2025-10-01,01:36:09,Polish Opening,63
player_10,White,opponent_1652,1943,1966,0-1,2025-10-01,01:36:26,Queen's Gambit,86
player_03,Black,opponent_0027,1932,1884,0-1,2025-10-01,01:36:26,Pirc Defense,102
player_16,Black,opponent_0465,2263,2253,0-1,2025-10-01,01:36:19,Sicilian Defense: Closed,106
player_27,White,opponent_1902,2111,2068,1-0,2025-10-01,01:36:13,Italian Game: Paris Defense,91
player_17,Black,opponent_0095,1979,1976,0-1,2025-10-01,01:36:32,Scandinavian Defense: Main Line,32
player_04,White,opponent_0106,2111,2130,1-0,2025-10-01,01:36:17,Sicilian Defense: Old Sicilian,115
player_33,White,opponent_1234,2092,2101,0-1,2025-10-01,01:36:17,Saragossa Opening,148
player_23,White,opponent_0266,2261,2397,0-1,2025-10-01,01:36:25,Italian Game: Rousseau Gambit,66
